"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2025-07-01";"2026-06-30";"252";"0,1522656378571032";"0,1478274521113714";"12 meses";"12";TRUE;"0,1522656378571032";"0,147827452111371";"3,86659661917643e-03";"1,030022743964958"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2024-07-01";"2026-06-30";"503";"0,3005506536629874";"0,2870100168583818";"24 meses";"24";TRUE;"0,1404168771387888";"0,134464638875263";"5,24673758842464e-03";"1,044266197517155"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2023-07-03";"2026-06-30";"752";"0,4867235948590305";"0,4374821021799329";"36 meses";"36";TRUE;"0,1413269648262390";"0,128584674955896";"1,12905040739111e-02";"1,099096489334469"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2025-12-31";"2026-06-30";"123";"0,0697910369292332";"0,0690511803661034";"6 meses";"6";TRUE;"0,1444528626941239";"0,142870426242159";"1,38461580213267e-03";"1,011076025273998"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2025-07-01";"2026-06-30";"252";"0,1547894924734725";"0,1478274521113714";"12 meses";"12";TRUE;"0,1547894924734725";"0,147827452111371";"6,06540673800304e-03";"1,047095720467779"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2024-07-01";"2026-06-30";"503";"0,3010503251306078";"0,2870100168583818";"24 meses";"24";TRUE;"0,1406359301418696";"0,134464638875263";"5,43982690612954e-03";"1,045895272677086"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2023-07-03";"2026-06-30";"752";"0,4791817168787198";"0,4374821021799329";"36 meses";"36";TRUE;"0,1393937776322196";"0,128584674955896";"9,57757350085053e-03";"1,084062137887203"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2025-12-31";"2026-06-30";"123";"0,0721980142453937";"0,0690511803661034";"6 meses";"6";TRUE;"0,1496085817517656";"0,142870426242159";"5,89581754404311e-03";"1,047162703204831"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2025-07-01";"2026-06-30";"252";"0,1523601894215112";"0,1478274521113714";"12 meses";"12";TRUE;"0,1523601894215112";"0,147827452111371";"3,94897099019720e-03";"1,030662351582201"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2024-07-01";"2026-06-30";"503";"0,2968235839991609";"0,2870100168583818";"24 meses";"24";TRUE;"0,1387816226121499";"0,134464638875263";"3,80530480100849e-03";"1,032104974013957"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2023-07-03";"2026-06-30";"752";"0,4827307540570764";"0,4374821021799329";"36 meses";"36";TRUE;"0,1403043083319786";"0,128584674955896";"1,03843633855303e-02";"1,091143313774387"
"Inter Premium FIF RF CP LP RL";"Inter Premium";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-12-31";"2026-06-30";"123";"0,0647036793638871";"0,0690511803661034";"6 meses";"6";TRUE;"0,1335939248509990";"0,142870426242159";"-8,11684437549209e-03";"0,935070527644141"
